A Rolling Ball of Death	Rolling Death	"{""key"": 2791, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Life Magic Mastery IV	"{""key"": 6214, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Life Magic Mastery V	"{""key"": 6215, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Sneak Attack Mastery I	"{""key"": 6231, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Sneak Attack Mastery II	"{""key"": 6232, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Sneak Attack Mastery III	"{""key"": 6233, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Sneak Attack Mastery IV	"{""key"": 6234, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Sneak Attack Mastery V	"{""key"": 6235, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Void Magic Mastery I	"{""key"": 6241, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Void Magic Mastery II	"{""key"": 6242, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Void Magic Mastery III	"{""key"": 6243, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Void Magic Mastery IV	"{""key"": 6244, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Void Magic Mastery V	"{""key"": 6245, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's War Magic Mastery I	"{""key"": 6246, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's War Magic Mastery II	"{""key"": 6247, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's War Magic Mastery III	"{""key"": 6248, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's War Magic Mastery IV	"{""key"": 6249, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's War Magic Mastery V	"{""key"": 6250, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Willpower V	"{""key"": 6260, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Coordination I	"{""key"": 6261, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Coordination II	"{""key"": 6262, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Coordination III	"{""key"": 6263, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Coordination IV	"{""key"": 6264, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Coordination V	"{""key"": 6265, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Endurance I	"{""key"": 6266, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Endurance II	"{""key"": 6267, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Endurance III	"{""key"": 6268, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Endurance IV	"{""key"": 6269, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Endurance V	"{""key"": 6270, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Focus I	"{""key"": 6271, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Focus II	"{""key"": 6272, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Focus III	"{""key"": 6273, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Focus IV	"{""key"": 6274, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Focus V	"{""key"": 6275, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Willpower I	"{""key"": 6286, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Willpower II	"{""key"": 6287, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Willpower III	"{""key"": 6288, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Willpower IV	"{""key"": 6289, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Boost I	"{""key"": 6291, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Boost II	"{""key"": 6292, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Boost III	"{""key"": 6293, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Boost IV	"{""key"": 6294, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Boost V	"{""key"": 6295, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Reduction I	"{""key"": 6296, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Reduction II	"{""key"": 6297, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Reduction III	"{""key"": 6298, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Reduction IV	"{""key"": 6299, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Critical Damage Reduction V	"{""key"": 6300, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Boost I	"{""key"": 6301, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Boost II	"{""key"": 6302, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Boost III	"{""key"": 6303, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Boost IV	"{""key"": 6304, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Boost V	"{""key"": 6305, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Reduction I	"{""key"": 6306, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Reduction II	"{""key"": 6307, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Reduction III	"{""key"": 6308, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Reduction IV	"{""key"": 6309, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Damage Reduction V	"{""key"": 6310, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Mana I	"{""key"": 6311, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Mana II	"{""key"": 6312, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Mana III	"{""key"": 6313, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Mana IV	"{""key"": 6314, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Mana V	"{""key"": 6315, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tachi	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tachi	Aura of Swift Killer Self III	"{""key"": 1624, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tachi	Aura of Atlan's Alacrity	"{""key"": 2116, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tachi	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tachi	Dual Wield Mastery Self VI	"{""key"": 5808, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Takuba	Quickness Self VI	"{""key"": 1402, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Takuba	Aura of Heart Seeker Self V	"{""key"": 1591, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Takuba	Aura of Blood Drinker Self IV	"{""key"": 1614, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Takuba	Aura of Swift Killer Self V	"{""key"": 1626, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Takuba	Minor Healing Prowess	"{""key"": 2548, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Takuba	Minor Lockpick Prowess	"{""key"": 2556, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tetsubo	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tetsubo	Aura of Atlan's Alacrity	"{""key"": 2116, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Tetsubo	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Trap	Dissolving Vortex	"{""key"": 2120, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Trap	Acid Stream III	"{""key"": 60, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Aura of Atlan's Alacrity	"{""key"": 2116, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Major Endurance	"{""key"": 2573, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Major Strength	"{""key"": 2576, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Aura of Incantation of Defender Self	"{""key"": 4400, ""value"": { ""casting_likelihood"": 2.02}}"
Acid War Axe	Aura of Incantation of Swift Killer Self	"{""key"": 4417, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Coral Golem	Imperil Other IV	"{""key"": 1325, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Coral Golem	Magic Yield Other IV	"{""key"": 283, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Coral Golem	Acid Vulnerability Other IV	"{""key"": 524, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Diamond Golem	Bludgeoning Vulnerability Other V	"{""key"": 1052, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Diamond Golem	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Diamond Golem	Weakness Other V	"{""key"": 1342, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Diamond Golem	Life Magic Ineptitude Other V	"{""key"": 627, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Diamond Golem	War Magic Ineptitude Other V	"{""key"": 651, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Diamond Golem	Shock Wave V	"{""key"": 68, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Spirit	Incantation of Acid Vulnerability Other	"{""key"": 4473, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Tendril	Incantation of Acid Streak	"{""key"": 4432, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Tendril	Incantation of Fester Other	"{""key"": 4489, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Tentacle	Imperil Other VI	"{""key"": 1327, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Tentacle	Acid Streak VI	"{""key"": 1795, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Tentacle	Olthoi's Gift	"{""key"": 2162, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Tentacle	Vulnerability Other VI	"{""key"": 234, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Tentacle	Acid Stream VI	"{""key"": 63, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Weeping Axe	Moderate Light Weapon Aptitude	"{""key"": 2686, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Weeping Claw	Moderate Heavy Weapon Aptitude	"{""key"": 2694, ""value"": { ""casting_likelihood"": 2.02}}"
Acidic Weeping Dagger	Moderate Light Weapon Aptitude	"{""key"": 2686, ""value"": { ""casting_likelihood"": 2.02}}"
Acolyte of Breath	Imperil Other VI	"{""key"": 1327, ""value"": { ""casting_likelihood"": 2.02}}"
Acolyte of Breath	Vulnerability Other VI	"{""key"": 234, ""value"": { ""casting_likelihood"": 2.02}}"
Acolyte of Breath	Magic Yield Other VI	"{""key"": 285, ""value"": { ""casting_likelihood"": 2.02}}"
Acolyte of Breath	Whirling Blade VI	"{""key"": 97, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Pacification	"{""key"": 2097, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Wi's Folly	"{""key"": 2112, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Dissolving Vortex	"{""key"": 2120, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Disintegration	"{""key"": 2122, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Celdiseth's Searing	"{""key"": 2123, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Olthoi's Gift	"{""key"": 2162, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Wrath of Adja	"{""key"": 2212, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Acid	Wrath of the Hieromancer	"{""key"": 2320, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Pacification	"{""key"": 2097, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Silencia's Scorn	"{""key"": 2127, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Ilservian's Flame	"{""key"": 2128, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Infernae	"{""key"": 2130, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Inferno's Gift	"{""key"": 2170, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Wrath of Adja	"{""key"": 2212, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Wrath of Harlune	"{""key"": 2264, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Fire	Wrath of the Hieromancer	"{""key"": 2320, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Pacification	"{""key"": 2097, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Lugian's Speed	"{""key"": 2109, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Winter's Embrace	"{""key"": 2135, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Icy Torment	"{""key"": 2136, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Blizzard	"{""key"": 2138, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Gelidite's Gift	"{""key"": 2168, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Wrath of Adja	"{""key"": 2212, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Frost	Wrath of the Hieromancer	"{""key"": 2320, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Lugian's Speed	"{""key"": 2109, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Wi's Folly	"{""key"": 2112, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Luminous Wrath	"{""key"": 2139, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Tempest	"{""key"": 2142, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Astyrrian's Gift	"{""key"": 2172, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Wrath of Adja	"{""key"": 2212, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Wrath of Harlune	"{""key"": 2264, ""value"": { ""casting_likelihood"": 2.02}}"
Adept of Lightning	Wrath of the Hieromancer	"{""key"": 2320, ""value"": { ""casting_likelihood"": 2.02}}"
Adja's Well	Arcane Enlightenment Other III	"{""key"": 686, ""value"": { ""casting_likelihood"": 2.02}}"
Aegis of the Gold Gear	Epic Impregnability	"{""key"": 4695, ""value"": { ""casting_likelihood"": 2.02}}"
Aegis of the Gold Gear	Epic Invulnerability	"{""key"": 4696, ""value"": { ""casting_likelihood"": 2.02}}"
Aegis of the Gold Gear	Augmented Stamina I	"{""key"": 5150, ""value"": { ""casting_likelihood"": 2.02}}"
Aegis of the Golden Flame	Fiery Blessing	"{""key"": 2157, ""value"": { ""casting_likelihood"": 2.02}}"
Aegis of the Golden Flame	Aura of Resistance	"{""key"": 2281, ""value"": { ""casting_likelihood"": 2.02}}"
Aegis of the Golden Flame	Minor Magic Resistance	"{""key"": 2559, ""value"": { ""casting_likelihood"": 2.02}}"
Aegis of the Golden Flame	Major Flame Ward	"{""key"": 2611, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Defeat	Aura of Mystic's Blessing	"{""key"": 2117, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Defeat	Adja's Blessing	"{""key"": 2215, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Defeat	Major Lockpick Prowess	"{""key"": 2521, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Defeat	Major Endurance	"{""key"": 2573, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Defeat	Aura of Spirit Drinker Self VI	"{""key"": 3258, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Defeat	Aura of Incantation of Hermetic Link Self	"{""key"": 4418, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Defeat	Legendary Lockpick Prowess	"{""key"": 6061, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Sparking Fury	"{""key"": 2039, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Disintegration	"{""key"": 2122, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Ilservian's Flame	"{""key"": 2128, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Icy Torment	"{""key"": 2136, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Crushing Shame	"{""key"": 2144, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Evisceration	"{""key"": 2146, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Depletion	"{""key"": 2992, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Plague	"{""key"": 2994, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Scourge	"{""key"": 2996, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Poison Blood	"{""key"": 3060, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Taint Mana	"{""key"": 3061, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Thin Skin	"{""key"": 3079, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Canker Flesh	"{""key"": 3462, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Char Flesh	"{""key"": 3463, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Numb Flesh	"{""key"": 3464, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Corrosive Strike	"{""key"": 3877, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Incendiary Strike	"{""key"": 3878, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Glacial Strike	"{""key"": 3879, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Corrosive Ring	"{""key"": 3881, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Glacial Ring	"{""key"": 3884, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Galvanic Ring	"{""key"": 3885, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Magic Disarmament	"{""key"": 3886, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Mana Syphon	"{""key"": 3909, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Dark Vortex	"{""key"": 3914, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Flayed Flesh	"{""key"": 3916, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Charge Flesh	"{""key"": 3927, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Fire Bomb	"{""key"": 3936, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Thaumic Bleed	"{""key"": 3939, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Exsanguinating Wave	"{""key"": 3940, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Acid Wave	"{""key"": 3946, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Blade Wave	"{""key"": 3947, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Flame Wave	"{""key"": 3948, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Force Wave	"{""key"": 3949, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Frost Wave	"{""key"": 3950, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Lightning Wave	"{""key"": 3951, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Shock Waves	"{""key"": 3952, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Acid Bomb	"{""key"": 3969, ""value"": { ""casting_likelihood"": 2.02}}"
Aerbax's Shadow	Blade Bomb	"{""key"": 3970, ""value"": { ""casting_likelihood"": 2.02}}"
